hour,node_id,floor,node_category,node_name,flow
18,L1-L1H-1,L1,Retail,L1H(1),102
18,L1-L106-L107,L1,Retail_Combined,L106 & L107,175
18,L1-L105,L1,Retail,L105,140
18,L1-L104,L1,Retail,L104,204
18,L1-L103,L1,Retail,L103,223
18,L1-L102,L1,Retail,L102,148
18,L1-L101,L1,Retail,L101,477
18,L1-L120B,L1,Retail,L120b,102
18,L1-L120,L1,Retail,L120,255
18,L1-L121,L1,Retail,L121,283
18,L1-L122,L1,Retail,L122,318
18,L1-L123,L1,Retail,L123,305
18,L1-L124,L1,Retail,L124,267
18,L1-L125,L1,Retail,L125,485
18,L1-MOH-L101,L1,Hotel_Service,MOH L101,12
18,L1-MOH-L102,L1,Hotel_Service,MOH L102,92
18,L1-HOTEL-MANDARIN,L1,Hotel,"Mandarin Oriental, Guangzhou",17
18,L1-TOWER-1,L1,Office_Tower,Taikoo Hui Tower 1,37
18,L1-TOWER-2,L1,Office_Tower,Taikoo Hui Tower 2,83
18,L1-F-ESC-WEST,L1,Facility_Escalator,Escalator,81
18,L1-F-ESC-WEST-MID,L1,Facility_Escalator,Escalator,53
18,L1-F-ESC-CENTER,L1,Facility_Escalator,Escalator,70
18,L1-F-ESC-CENTER-SOUTH,L1,Facility_Escalator,Escalator,78
18,L1-F-ESC-EAST-MID,L1,Facility_Escalator,Escalator,69
18,L1-F-ESC-EAST,L1,Facility_Escalator,Escalator,32
18,L1-F-WC-WEST,L1,Facility_Restroom,Restroom / Accessible WC,73
18,L1-F-ELEVATOR-CENTER,L1,Facility_Elevator,Elevator,83
18,L1-F-INFO-WEST,L1,Facility_Service,Information desk,81
18,L1-F-SIGNAGE-EAST,L1,Facility_Service,1F signage / directory,28
18,L1-F-HSBC,L1,Facility_Bank_ATM,HSBC ATM / banking facility,40
18,L1-ENT-WEST,L1,Entrance,West entrance / exit,200
18,L1-ENT-NORTH,L1,Entrance,North car drop-off entrance,195
18,L1-ENT-EAST,L1,Entrance,East entrance / exit,176
18,L1-ENT-SOUTH,L1,Entrance,South transit entrance,230
18,L2-C-WEST-ATRIUM,L2,Corridor,West atrium corridor,0
18,L2-C-WEST-MAIN,L2,Corridor,West main corridor,0
18,L2-C-SOUTHWEST,L2,Corridor,Southwest lower corridor,0
18,L2-C-CENTRAL-COURT,L2,Corridor,Central court corridor,0
18,L2-C-CENTRAL-SPINE,L2,Corridor,Central spine corridor,0
18,L2-C-HOTEL-LINK,L2,Corridor,Mandarin Oriental link corridor,0
18,L2-C-EAST-HUB,L2,Corridor,East hub corridor,0
18,L2-C-EAST-WING,L2,Corridor,East wing corridor,0
18,L2-C-SOUTHEAST,L2,Corridor,Southeast lower corridor,0
18,L2-L227,L2,Retail,L227,0
18,L2-L226,L2,Retail,L226,0
18,L2-L225B,L2,Retail,L225b,0
18,L2-L225A,L2,Retail,L225a,0
18,L2-L224,L2,Retail,L224,0
18,L2-L223,L2,Retail,L223,0
18,L2-L221-L222,L2,Retail_Combined,L221 & L222,0
18,L2-L220,L2,Retail,L220,0
18,L2-L218-L219,L2,Retail_Combined,L218 & L219,0
18,L2-L217,L2,Retail,L217,0
18,L2-L216,L2,Retail,L216,0
18,L2-L215,L2,Retail,L215,0
18,L2-L214,L2,Retail,L214,0
18,L2-L213,L2,Retail,L213,0
18,L2-L211,L2,Retail,L211,0
18,L2-L210B,L2,Retail,L210b,0
18,L2-L210A,L2,Retail,L210a,0
18,L2-L209,L2,Retail,L209,0
18,L2-L207-L208,L2,Retail_Combined,L207 & L208,0
18,L2-L206,L2,Retail,L206,0
18,L2-L205,L2,Retail,L205,0
18,L2-L204,L2,Retail,L204,0
18,L2-L203,L2,Retail,L203,0
18,L2-L202,L2,Retail,L202,0
18,L2-L201,L2,Retail,L201,0
18,L2-L228,L2,Retail,L228,0
18,L2-L229A,L2,Retail,L229a,0
18,L2-L229B,L2,Retail,L229b,0
18,L2-L230,L2,Retail,L230,0
18,L2-L231,L2,Retail,L231,0
18,L2-L232,L2,Retail,L232,0
18,L2-L233,L2,Retail,L233,0
18,L2-L234,L2,Retail,L234,0
18,L2-HOTEL-MANDARIN,L2,Hotel,"Mandarin Oriental, Guangzhou",0
18,L2-TOWER-1,L2,Office_Tower,Taikoo Hui Tower 1,0
18,L2-TOWER-2,L2,Office_Tower,Taikoo Hui Tower 2,0
18,L2-A-WEST-NORTH,L2,Unknown_Area,Unlabeled west upper service area,0
18,L2-A-HOTEL-CONNECTOR,L2,Unknown_Area,Unlabeled hotel connector area,0
18,L2-F-WC-WEST,L2,Facility_Restroom,Restroom / Accessible WC,0
18,L2-F-WC-CENTER,L2,Facility_Restroom,Restroom / Accessible WC,0
18,L2-F-ELEVATOR-CENTER,L2,Facility_Elevator,Elevator,0
18,L2-F-ESC-WEST,L2,Facility_Escalator,Escalator,0
18,L2-F-ESC-WEST-MID,L2,Facility_Escalator,Escalator,0
18,L2-F-ESC-CENTER,L2,Facility_Escalator,Escalator,0
18,L2-F-ESC-SOUTH,L2,Facility_Escalator,Escalator,0
18,L2-F-ESC-EAST-MID,L2,Facility_Escalator,Escalator,0
18,L2-F-ESC-EAST,L2,Facility_Escalator,Escalator,0
18,L3-C-WEST-LOOP,L3,Corridor,West loop corridor,0
18,L3-C-CENTRAL-SPINE,L3,Corridor,Central curved spine corridor,0
18,L3-C-NORTH-RETAIL,L3,Corridor,North retail corridor,0
18,L3-C-HOTEL-LINK,L3,Corridor,Mandarin Oriental link corridor,0
18,L3-C-EAST-HUB,L3,Corridor,East hub corridor,0
18,L3-C-EAST-WING,L3,Corridor,East wing corridor,0
18,L3-C-SOUTH-WALK,L3,Corridor,South lower walkway,0
18,L3-L302,L3,Retail,L302,0
18,L3-L303,L3,Retail,L303,0
18,L3-L304,L3,Retail,L304,0
18,L3-L305,L3,Retail,L305,0
18,L3-L306,L3,Retail,L306,0
18,L3-L307,L3,Retail,L307,0
18,L3-L308A,L3,Retail,L308a,0
18,L3-L308B,L3,Retail,L308b,0
18,L3-L308C,L3,Retail,L308c,0
18,L3-L308D,L3,Retail,L308d,0
18,L3-L308E,L3,Retail,L308e,0
18,L3-HOTEL-MANDARIN,L3,Hotel,"Mandarin Oriental, Guangzhou",0
